,type,model,window,size,count,acc,loss,val_acc,val_loss
63,MORPHEME,fastText,10.0,1000.0,10.0,0.9807066666730244,0.3802639266045889,0.8214799999999999,0.911763357038498
64,MORPHEME,fastText,10.0,1000.0,100.0,0.9684466666793824,0.3915600577704112,0.8198400000190735,0.8352917834663391
65,MORPHEME,fastText,5.0,100.0,20.0,0.8649666666666667,0.4634609371725718,0.773790000038147,0.6131958306980133
66,MORPHEME,fastText,10.0,1000.0,20.0,0.8670266666475932,0.4235798664283753,0.7961600000000001,0.7740180710220337
67,MORPHEME,fastText,2.0,1000.0,20.0,0.8575366666666666,0.4556500411796571,0.859990000038147,0.8312120963668823
68,MORPHEME,fastText,5.0,1000.0,20.0,0.9624966666730244,0.4100918840376536,0.8080099999618531,0.613157020406723
69,MORPHEME,fastText,7.0,1000.0,20.0,0.96435333331426,0.3827548839346568,0.81871,0.6539630203723907
70,MORPHEME,fastText,5.0,300.0,20.0,0.9298266666857401,0.4052223916467031,0.8393499999809265,0.5995345060539246
71,MORPHEME,fastText,5.0,50.0,20.0,0.8374700000063579,0.5139679886595409,0.76072,0.6513855610561371
72,MORPHEME,fastText,5.0,500.0,20.0,0.925536666653951,0.3867538356971741,0.821810000038147,0.5812787484169006
73,MORPHEME,fastText,10.0,1000.0,50.0,0.9282300000190736,0.3871996951643626,0.8249999999809265,0.5372663286399841
74,MORPHEME,fastText,10.0,300.0,10.0,0.9461966666475932,0.4121338824653625,0.8324300000381469,0.5792432581233978
75,MORPHEME,fastText,10.0,300.0,100.0,0.9150000000127156,0.4230558153216044,0.81084,0.6738246199798584
76,MORPHEME,fastText,10.0,300.0,20.0,0.926173333346049,0.4174051535542806,0.852229999961853,0.5626153910827637
77,MORPHEME,fastText,10.0,300.0,50.0,0.9081566666603088,0.4194699421787262,0.8406499999809265,0.5978430341243743
78,MORPHEME,fastText,2.0,300.0,20.0,0.9303633333142598,0.40550755803744,0.8501800000190735,0.5837483973121643
79,MORPHEME,fastText,7.0,300.0,20.0,0.9280333333396912,0.4073413232135773,0.85477,0.5892274098873138
