,type,model,window,size,count,acc,loss,val_acc,val_loss
103,MORPHEME,word2vec,10,300,50,0.804766121,0.792962075,0.800490477,0.797904831
104,MORPHEME,fastText,5,500,10,0.845679108,0.823285329,0.800116041,0.838528453
105,MORPHEME,fastText,7,500,100,0.676787908,1.225836688,0.799729844,1.005272338
106,MORPHEME,glove,10,300,10,0.626413627,1.011696757,0.799239675,0.75623806
107,MORPHEME,word2vec,10,100,100,0.80010938,0.788122112,0.799185468,0.798996942
108,MORPHEME,word2vec,5,500,10,0.947283333,0.130440116,0.7981,0.590113337
109,MORPHEME,word2vec,2,1000,10,0.590936951,1.475148268,0.797009784,0.823013529
110,MORPHEME,fastText,10,100,20,0.774570199,0.794882951,0.79659896,0.741647745
111,MORPHEME,fastText,2,500,100,0.717297119,1.274070988,0.796468946,1.193348381
112,MORPHEME,fastText,10,1000,20,0.867026667,0.423579866,0.79616,0.774018071
113,MORPHEME,word2vec,10,1000,10,0.639640987,1.535028535,0.794382787,0.951062698
114,MORPHEME,word2vec,5,1000,20,0.966256667,0.087714997,0.79203,0.726263612
115,MORPHEME,fastText,7,100,20,0.776556955,0.775518676,0.790418456,0.763753069
116,MORPHEME,fastText,10,100,50,0.671263695,1.10311577,0.789610341,0.888662344
117,MORPHEME,word2vec,7,1000,20,0.796589696,0.785566641,0.789329706,0.832078514
118,MORPHEME,word2vec,5,500,20,0.94936,0.128118078,0.78836,0.601093889
119,MORPHEME,fastText,2,100,20,0.774650805,0.778605445,0.788189492,0.760404996
120,MORPHEME,word2vec,2,500,10,0.773171772,0.768119533,0.785855959,0.758982287
121,MORPHEME,word2vec,7,500,20,0.949053333,0.126174355,0.78562,0.635274198
122,MORPHEME,glove,2,500,10,0.680154403,0.729820553,0.785218182,0.753531016
123,MORPHEME,word2vec,5,1000,50,0.781191864,0.827195008,0.782744862,0.803863222
124,MORPHEME,fastText,5,500,100,0.81048044,0.823352592,0.782656346,0.941194179
125,MORPHEME,glove,2,1000,10,0.495699388,0.966117116,0.782052332,0.743959656
126,MORPHEME,fastText,10,100,10,0.671437495,1.08634271,0.781452007,0.884425889
127,MORPHEME,fastText,7,50,20,0.767025136,0.761730432,0.781229608,0.758212956
128,MORPHEME,word2vec,10,500,10,0.769444524,0.780715487,0.781142812,0.766617311
129,MORPHEME,word2vec,7,1000,50,0.61826643,1.476418028,0.780806669,0.885751081
130,MORPHEME,glove,7,100,10,0.548772773,0.999638848,0.78039837,0.717282933
131,MORPHEME,glove,7,1000,50,0.543599199,0.99315079,0.780189029,0.711501366
132,MORPHEME,fastText,7,50,50,0.691390176,1.010569035,0.778535604,0.861874627
133,MORPHEME,glove,10,100,10,0.609565142,1.001852674,0.778241243,0.735661221
134,MORPHEME,glove,7,500,50,0.720718299,0.750318763,0.777883801,0.718308631
135,MORPHEME,word2vec,10,1000,20,0.789065433,0.802974807,0.777636672,0.871503846
136,MORPHEME,glove,10,1000,50,0.61087131,1.000617031,0.777235761,0.729639513
137,MORPHEME,word2vec,7,50,20,0.764397158,0.754795071,0.775737284,0.921072863
138,MORPHEME,fastText,7,100,50,0.67344799,1.074943563,0.775236986,0.91597215
139,MORPHEME,glove,5,300,10,0.664020204,0.719666032,0.775127039,0.735319867
140,MORPHEME,word2vec,10,1000,50,0.615217294,1.504847382,0.775057392,0.937073823
141,MORPHEME,fastText,2,100,50,0.687821904,1.101865614,0.77470419,0.988027215
142,MORPHEME,fastText,2,50,20,0.76329448,0.761226616,0.774493408,0.740429585
143,MORPHEME,fastText,5,100,20,0.864966667,0.463460937,0.77379,0.613195831
144,MORPHEME,fastText,7,100,10,0.675467422,1.074210877,0.773655213,0.90391025
145,MORPHEME,glove,7,1000,20,0.709207021,0.743174992,0.773617226,0.712852674
146,MORPHEME,word2vec,7,100,10,0.646808275,1.256040553,0.773328671,1.032581081
147,MORPHEME,word2vec,7,500,50,0.780165736,0.777719388,0.773230828,0.803809002
